,title,description
17,"전남도, 13일부터 영유아 <b>코로나</b>19 예방접종","4세 이하 영유아는 <b>코로나</b>19 확진 시 5~19세에 비해 사망률이 높고, 17세 이하 확진자 입원율(1.21%)의 절반을... <b>코로나</b>19 예방접종 누리집에서 확인할 수 있다. 현재 사전 예약을 진행하고 있으며, 오접종을 예방하기... "
18,"전남도, <b>코로나</b>19 유행 3년…&apos;과학적 대응&apos; 정부 건의 집중",기사내용 요약 김영록 전남지사 &quot;방역현장 문제점 분석 후 조속히 개선&quot; 전남도가 <b>코로나</b>19 사태 3년을 맞아 앞으로 후속 대책과 법·제도 개선에 집중하기로 했다. 전남도는 도내 <b>코로나</b>19 첫 환자가 지난 2020년 2월 6일... 
19,"<b>코로나</b>19 중대본 회의, 발언하는 박민수 차관",박민수 중앙재난안전대책본부 제1총괄조정관(보건복지부 제2차관)이 8일 오전 서울 종로구 정부서울청사 행정안전부 서울상황센터에서 열린 <b>코로나</b>19 중앙재난안전대책본부(중대본) 회의에 참석해 발언하고... 
20,"<b>코로나</b>19 중대본 회의, 발언하는 박민수 차관",박민수 중앙재난안전대책본부 제1총괄조정관(보건복지부 제2차관)이 8일 오전 서울 종로구 정부서울청사 행정안전부 서울상황센터에서 열린 <b>코로나</b>19 중앙재난안전대책본부(중대본) 회의에 참석해 발언하고... 
21,"방대본 &quot;<b>코로나</b> 백신 정례접종, 변이 예측·백신 개발 상황 보며 검토&quot;","방역 당국은 <b>코로나</b>19 백신 정례접종 방안 마련을 위해 변이 바이러스 및 백신 개발 상황 등을 함께 검토할... 한편, 전날 지영미 질병관리청장이 올해 안으로 <b>코로나</b>19 백신 정례 접종 방안을 마련하겠다고 밝힌 데 대해... "
22,&apos;<b>코로나</b> 특수&apos; 한풀꺾인 K김치…&quot;앞으로 수출 전망은 밝아&quot;,"기사내용 요약 승승장구해 온 K김치, 작년수출액 7년 만에 감소 &quot;<b>코로나</b> 특수 끝났어도 한류·한식 인기 지속 전망&quot; [서울=뉴시스]김혜경 기자 = 김치 수출액이 지난해 7년 만에 감소세로 돌아서면서 &apos;<b>코로나</b> 특수&apos;가... "
23,"롯데쇼핑, 백화점·마트가 실적 끌자 &quot;<b>코로나</b> 이전 수준 따라잡았다&quot;","롯데쇼핑이 사회적 거리두기 해제로 백화점, 마트가 살아나면서 <b>코로나</b>19(COVID-19) 이전 실적을 대부분... 사업부별로는 백화점 매출이 11.9% 증가한 3조2320억원으로 <b>코로나</b>19 이후 3년만에 처음으로 3조원을 넘어섰다.... "
24,<b>코로나</b>로 유통업계 &apos;칼바람&apos;‥작년 쿠팡 순고용 4천903명 줄었다,"작년 <b>코로나</b> 팬데믹에 따른 소비 부진과 언택트 근무 등의 여파로 쿠팡을 비롯한 유통과 금융 업종의 고용... 유통 업종은 <b>코로나</b> 여파로 인한 수익성 악화 등으로 구조조정을 단행했고, 은행과 보험 업종은... "
25,[속보] <b>코로나</b>19 신규 확진 1만6120명…유행 감소세,신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 유행이 잦아들고 있다. 7일 중앙방역대책본부(중대본)에 따르면 이날 0시 기준 <b>코로나</b>19 확진자는 1만6120명으로 집계됐다. 주말 검사 건수 감소로 확진자 수가... 
26,질병청장 “中 비자제한 조기 해제…<b>코로나</b> 백신 정기접종 추진”,"지영미 질병관리청장이 앞으로 “신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 백신을 연 1, 2회 정례적으로 접종하는 것이 바람직하다”고 밝혔다. <b>코로나</b>19가 팬데믹(대유행)에서 엔데믹(풍토병화)으로 전환되면서 <b>코로나</b>19... "
27,중국발 단기 체류 외국인 1명 <b>코로나</b>19 확진…양성률 0.3%,"중국에서 인천공항을 통해 입국한 단기 체류 외국인 1명이 <b>코로나</b>19 양성 판정을 받았습니다. 중앙방역대책본부는 어제 하루 중국발 입국자 1,986명 가운데 335명이 공항 검사센터에서 검사를 받았고, 오늘(8일) 0시... "
28,"<b>코로나</b>19 중대본 회의, 발언하는 박민수 차관",박민수 중앙재난안전대책본부 제1총괄조정관(보건복지부 제2차관)이 8일 오전 서울 종로구 정부서울청사 행정안전부 서울상황센터에서 열린 <b>코로나</b>19 중앙재난안전대책본부(중대본) 회의에 참석해 발언하고... 
29,"고령군, 영유아 <b>코로나</b>19 예방접종",경상북도 고령군(군수 이남철)은 6개월~4세 영유아대상으로 신종<b>코로나</b>바이러스감염증(<b>코로나</b>19) 백신 기초접종(1·2·3접종)을 13일부터 시행한다고 8일 밝혔다. 영유아는 이미 접종을 시행중인 소아(5~11세)와 청소년(12... 
30,"<b>코로나</b>19 중대본 회의, 발언하는 박민수 차관",박민수 중앙재난안전대책본부 제1총괄조정관(보건복지부 제2차관)이 8일 오전 서울 종로구 정부서울청사 행정안전부 서울상황센터에서 열린 <b>코로나</b>19 중앙재난안전대책본부(중대본) 회의에 참석해 발언하고... 
31,"<b>코로나</b>19 중대본 회의, 발언하는 박민수 차관",박민수 중앙재난안전대책본부 제1총괄조정관(보건복지부 제2차관)이 8일 오전 서울 종로구 정부서울청사 행정안전부 서울상황센터에서 열린 <b>코로나</b>19 중앙재난안전대책본부(중대본) 회의에 참석해 발언하고... 
32,[단독]FDA 속여 주가 1079% 훌쩍…카이스트 출신 &apos;<b>코로나</b> 사기&apos;,<b>코로나</b>19 대유행 때 6개월 만에 주가가 1079% 뛴 어느 ‘<b>코로나</b>19 테마주’의 실상은 이랬다. 그조차도 직접 만든 게 아니었다. 체외진단의료기기(진단키트·검체수송배지)를 자체 생산할 기술·인력·설비조차 없었기... 
33,‘<b>코로나</b> 19’ 3년 전남은?,사진=목포시 전남도는 도내 <b>코로나</b>19 첫 환자(국내 16번)가 지난 2020년 2월 6일 발생한 이후 3년 만에 누적... 전남도에 따르면 <b>코로나</b>19는 2020년 1월 20일 국내 첫 확진자 발생 후 수도권을 중심으로 1차 유행이 시작됐으며... 
34,"<b>코로나</b> 신규확진 1만7934명...위중증 283명, 사망 22명",1만7934명이 <b>코로나</b>19에 확진됐다. 질병관리청 중앙방역대책본부(방대본)에 따르면 <b>코로나</b>19 확진자 수는 8일 0시 기준 1만7934명이 늘어 누적 확진자는 3029만7315명이다. 이는 전날 7일(1만6120명) 대비 1814명... 
35,<b>코로나</b> 신규 확진 1만6120명…1주일 전보다 3947명 감소,10명 <b>코로나</b>19 유행이 감소 국면으로 접어들고 있는 가운데 신규 확진자 수가 1만6120명으로 집계됐다. 질병관리청 중앙방역대책본부(방대본)에 따르면 <b>코로나</b>19 확진자 수는 9일 0시 기준 1만6120명 늘어 누적... 
36,[<b>코로나</b>19] 신규확진 1만7934명…위중증 283명·사망 22명,"중앙방역대책본부는 8일 0시 기준으로 <b>코로나</b>19 신규 확진자가 1만7934명 늘어 누적... 전날 <b>코로나</b>19로 사망한 환자는 22명으로 직전일(10명)보다 12명 증가했다. 누적 사망자는 3만3646명, 누적... "
37,"질병청 &quot;<b>코로나</b> 백신 연 1~2회 접종, 검토 후 발표할 것&quot;",방역당국은 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 백신을 연 2회 정례화해 접종하는 방안을 검토하는대로 발표할 계획이다. <b>코로나</b>19 엔데믹(풍토병화) 이후에도 독감처럼 매년 접종하도록 하겠다는 것이다.... 
38,방역당국 “<b>코로나</b>19 정기접종…일반인 연 1회·고위험군 연 2회”,"방역당국이 앞으로 <b>코로나</b>19 백신 접종은 일반인의 경우 연 1회, 고위험군의 경우 연 2회 정기적으로 맞도록 추진하겠다고 밝혔습니다. 임숙영 중앙방역대책본부 상황총괄단장은 오늘(8일) <b>코로나</b>19 중앙재난안전대책본부... "
39,"경북, 959명 <b>코로나</b>19 확진…사망자는 2명","경북에서 <b>코로나</b>19 확진자 959명이 새로 나왔다. 8일 경북도에 따르면 전날 포항 211명, 구미... <b>코로나</b>19 전담병원 10곳(184병상)에는 38명이 입원해 20.7%의 가동률을 보이고 있다.... "
40,"전남도,13일부터 영유아 <b>코로나</b>19 예방접종",<b>코로나</b>19 예방 접종 전라남도는 영유아 3만 6천명을 대상으로 13일부터 화이자 영유아용 백신 접종을... 4세 이하 영유아는 <b>코로나</b>19 확진 시 5~19세에 비해 사망률이 높고 17세 이하 확진자 입원율 1.21%의 절반을... 
41,"다이이찌산쿄, 日 최초 mRNA <b>코로나</b> 백신 공장 건설",따라 <b>코로나</b> 백신 생산량 달라질 것 [서울=뉴시스]황재희 기자 = 일본 제약사 다이이찌산쿄가 일본 최초로... mRNA <b>코로나</b>19 공장을 건설 중이다. 다이이찌산쿄 키타모토 공장은 일본 최초의 mRNA <b>코로나</b>19 백신 공장으로... 
42,<b>코로나</b> 반사이익 누린 화상회의 &apos;줌&apos; 1300명 해고한다,신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19)의 세계적 대유행(팬데믹) 속에서 비대면 화상회의 서비스를 제공해 수혜를 누렸던 줌(Zoom)이 직원 감축을 단행한다. 뉴욕타임스(NYT) 등 외신은 줌이 전체인원의 15%에 해당하는 약... 
43,광주·전남 1278명 <b>코로나</b>19 신규 확진,"광주·전남에서 하루 1천278명의 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 확진자가 발생했다. 8일 광주시와 전남도에 따르면 전날 광주 569명, 전남 709명이 확진됐다. 사망자는 없었으며 위중증 환자는 광주 1명... "
44,"고령군, 영유아 (6개월~4세) <b>코로나</b>19 예방접종","경북 고령군은 오는 13일부터 6개월~4세 영유아 대상(2022년생 생일 경과자~2018년생 생일 경과자) <b>코로나</b>19... 한편, 고령군은 60대 이상 고령층, 감염취약시설 관계자, 12세 이상 대상으로 <b>코로나</b>19 동절기 추가 접종을... "
45,<b>코로나</b> 위험 3주째 &apos;낮음&apos;…&apos;우세종&apos; BN.1 검출률 56.9%(종합),1%…&quot;반등세 관찰 안 돼&quot; [서울=뉴시스]권지원 기자 = 2월 1주 차 <b>코로나</b>19 신규 확진자 수는 전주 대비 20% 하락하면서 3주 연속 &apos;낮음&apos; 단계의 위험도를 유지했다. <b>코로나</b>19 오미크론 BN.1 변이 바이러스의 국내... 
46,&quot;<b>코로나</b> 긴 터널 끝 보여… 올 일상 전환 원년될 것&quot;,&quot;전 세계가 <b>코로나</b>19 위기에서 완전히 벗어나진 못했지만 긴 터널의 끝이 보이는 시점임은 분명하다. 올해는... &quot; 지영미 질병관리청장은 7일 충북 오송 질병청에서 열린 취임 이후 첫 기자간담회에서 사상 초유의 <b>코로나</b>19... 
47,방역당국 &quot;<b>코로나</b> 백신 연 1~2회 상시 접종 방안 추진&quot;,방역당국이 신종 <b>코로나</b>바이러스 감염증(COVID-19·<b>코로나</b>19) 백신 정기 접종안을 내놓겠다고 밝혔다. 임숙영 중앙방역대책본부 상황총괄단장은 8일 중앙재난안전대책본부 정례브리핑 “연 1회 또는 고위험군의 경우에는 연... 
48,<b>코로나</b> 확진 1만7934명...위중증 283명·사망 22명,신종 <b>코로나</b>바이러스 감염증(COVID-19·<b>코로나</b>19) 신규 확진자가 8일 1만7934명을 기록했다. 발표일 수요일 기준 지난해 6월 29일 1만 446명 이후 32주 만에 가장 적은 수다. 대중교통 등을 제외한 실내... 
49,"<b>코로나</b>19 중대본 회의, 발언 앞서 마스크 벗는 박민수 차관",박민수 중앙재난안전대책본부 제1총괄조정관(보건복지부 제2차관)이 8일 오전 서울 종로구 정부서울청사 행정안전부 서울상황센터에서 열린 <b>코로나</b>19 중앙재난안전대책본부(중대본) 회의에 참석해 발언에 앞서... 
50,"부천시, <b>코로나</b>19 피해 &apos;식품위생업소 1% 융자&apos; 지원",경기 부천시는 <b>코로나</b>19로 어려움을 겪고 있는 식품위생업소에 대해 경제적 부담을 덜고 위생수준을 높이기 위해 &apos;1% 융자 지원&apos;에 나선다고 7일 밝혔다. 식품위생업소 융자사업은 경기도 식품진흥기금을 활용하며... 
51,[박순욱의 술기행](89) “<b>코로나</b> 시대엔 다품종이 경쟁력입니다.”,"<b>코로나</b> 이후 홈술, 혼술 음주문화가 정작화됨에 따라 ‘개성있는 술’을 찾는 소비자들이 크게 늘어나는 추세다. 이런 측면에서 다양한 제품을 내놓는 것이 ‘시장의 흐름’에도 부응한다고 여긴다. 제품 종류가 많은... "
52,<b>코로나</b> 풀리자 해외로…여행수지 적자 2년 새 최대,<b>코로나</b>19 완화로 해외여행이 급증한 결과로 풀이된다. 한국은행이 8일 발표한 국제수지 잠정통계에... 연간 여행수지 적자도 2019년 118억7000만달러에서 <b>코로나</b>19가 창궐한 2020년 58억6000만달러로 줄었다가... 
53,<b>코로나</b>19 하루 확진 9만 명→1만 명대 감소…중국발 유입도 적어,발생했던 <b>코로나</b>19 확진자 수가 1만 명대까지 떨어졌다며 7차 유행이 눈에 띄게 잦아들고 있다고 평가했습니다. 박민수 중앙재난안전대책본부 제1총괄조정관(보건복지부 제2차관)은 오늘(8일) <b>코로나</b>19 중대본 회의에서... 
54,잠잠해진 <b>코로나</b>에 들끓는 절도범… 유흥비 구하려 새벽에 도둑질한 40대 형제...,경찰 관계자는 &quot;<b>코로나</b>가 잠잠해지고 외부활동이 늘어나면서 주거침입과 절도 범죄가 기승을 부리고 있다&quot;며 &quot;치안유지가 필요한 지역에서 선제적·적극적으로 대응할 것&quot;이라고 밝혔다.
55,"전남도,<b>코로나</b> 첫 환자 발생 이후 3년…안정 상황",전남도는 도내 <b>코로나</b>19 첫 환자(국내 16번째)가 지난 2020년 2월 6일 발생한 이후 3년 만에 누적 확진자가 99만... 전남도에 따르면 <b>코로나</b>19는 2020년 1월 20일 국내 첫 확진자 발생 후 수도권을 중심으로 1차 유행이... 
56,"SK바이오사이언스, 지난해 실적 급감… <b>코로나</b>19 엔데믹 &apos;직격타&apos;",뉴데일리 손정은 기자 = SK바이오사이언스의 지난해 실적이 <b>코로나</b>19 엔데믹 영향으로 절반 이상... SK바이오사이언스는 이같은 실적 부진에 대해 &quot;<b>코로나</b>19 백신의 위탁생산(CMO) 및 위탁개발생산(CDMO) 매출이 감소한... 
57,전남 영유아 3만6천명 대상 <b>코로나</b> 백신 접종 시작,4세 이하 영유아는 <b>코로나</b>19 확진 시 5~19세에 비해 사망률이 높고 17세 이하 확진자 입원율 1.21%의 절반을... <b>코로나</b>19 예방접종 누리집에서 확인할 수 있다. 현재 사전 예약을 진행하고 있으며 오접종을 예방하기 위해... 
58,<b>코로나</b> 이후 &apos;명품 바람&apos; 타고…롯데쇼핑·신세계 &apos;실적 휘파람&apos;,<b>코로나</b>19 창궐 후 불기 시작한 명품 열풍이 여전한 가운데 일상으로의 복귀가 가속화하면서 패션... 롯데백화점 매출이 3조원을 넘은 건 <b>코로나</b>19 확산 전인 2019년 이후 3년 만이다. 롯데마트는 540억원의... 
59,너도 나도 일본… <b>코로나</b> 이전보다 여행객 11% 늘어,"7일 국토교통부에 따르면 지난해 10월 말부터 일본, 동남아 등 국제 항공 운항노선이 대폭 확대된 결과로 올 1월 국제선 운항편수는 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 발생 이전(2019년 1월) 대비 약 60... "
60,"전남도, 13일부터 영유아 <b>코로나</b>19 예방접종",<b>코로나</b>19 접종 [사진=전남도] 2023.02.08 ej7648@newspim.com 4세 이하 영유아는 <b>코로나</b>19 확진 시 5~19세에 비해 사망률이 높고 17세 이하 확진자 입원율 1.21%의 절반을 차지하고 있다. 실제로 지난해 11~12월... 
61,"제주항공, 작년 4분기 영업익 187억…<b>코로나</b> 이후 첫 흑자","<b>코로나</b>19 유행의 안정화 및 일상회복 영향으로 인한 여객수요 회복을 감안해 선제 공급을 확대한 것이 매출 증가로 이어진 것으로 분석된다. 제주항공은 지난해 10월부터 도쿄(나리타), 오사카, 후쿠오카 등 한... "
62,"<b>코로나</b> 수혜 끝났다…줌, 직원 1300명 감원 발표",<b>코로나</b>19 수혜 기업 중 하나로 꼽혔던 화상회의 업체 &apos;줌&apos;이 직원 감축을 발표했습니다. 7일(현지시간)... <b>코로나</b>19 이후 줌의 이용량은 크게 늘었습니다. 많은 기업과 학교가 줌을 이용해 일하고 수업했습니다. 이에 따라... 
63,“<b>코로나</b> 백신 연 1~2회 접종 검토 후 발표···변이예측·백신개발 고려”,방역당국이 변이와 백신 개발 상황 등을 고려해 <b>코로나</b>19 백신 정례접종을 검토하겠다고 밝혔다. 독감처럼... 방대본은 확진자와 위중증 환자 등 전반적인 지표가 개선되고 있는 상황을 고려해 2월 1주차 <b>코로나</b>19 주간... 
64,"中 명품사랑, <b>코로나</b>에 꺾였다…&quot;올해 1분기엔 회복&quot;","지난해 제로<b>코로나</b> 방역의 여파로 중국의 &apos;명품 소비&apos;가 침체기를 겪었다는 분석이 나왔다. 다만, 올해는... 베인앤드컴퍼니는 중국의 명품 소비 감소의 원인으로 제로<b>코로나</b>에 따른 관광과 소비 제한, 부동산 시장... "
65,"실내마스크 해제 10일째 <b>코로나</b>19 신규확진 1만7,934명…&quot;국내외 상황 안정적...",실내마스크 해제 10일째인 8일 <b>코로나</b>19 신규 확진자는 1만 8천 명대를 기록했다. 정부는 이날 오전 열린... 중앙방역대책본부에 따르면 이날 0시 기준 <b>코로나</b>19 확진자가 1만7천934명 늘어 누적 3천29만7천315명이... 
66,<b>코로나</b> 수혜 끝…화상회의 플랫폼 ‘줌’ 1300명 해고,"<b>코로나</b>19 팬데믹 속에서 비대면 화상회의 서비스를 제공해 수혜를 누렸던 줌(Zoom)이 직원 감축을 발표했다.... <b>코로나</b>19 이후 줌은 전 세계에서 호황을 누렸지만, 방역 지침이 점차 완화되기 시작하면서 흔들리기... "
67,중대본 &quot;국내·외 <b>코로나</b> 상황 안정적 유지&quot;,<b>코로나</b>19 겨울 재유행이 완연한 감소 추세로 돌아서면서 국내 방역 상황도 안정적으로 유지되고 있다.... 통해 <b>코로나</b> 극복에 끝까지 힘을 모아주시길 국민 여러분께 부탁드린다&quot;고 강조했다. 또 &quot;지자체는 해외유입... 
68,[속보] <b>코로나</b> 신규 확진 1만7934명 &apos;위중증283명·사망22명&apos;,"<b>코로나</b>방역, <b>코로나</b>검사 (시사매거진DB) 신규 확진자수가 1만명대로 집계됐다. 8일 질병관리청 중앙방역대책본부는 이날 0시 기준 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 신규 확진자가 1만7934명으로... "
69,[속보] <b>코로나</b> 유행 감소세…질병청장 &quot;백신 정기접종 추진&quot;,<b>코로나</b>19 유행이 감소 국면으로 접어들고 있습니다. 중앙방역대책본부에 따르면 2023년 2월 8일 수요일 0시... &quot;<b>코로나</b> 백신 정기접종 추진&quot; 지영미 질병관리청장은 <b>코로나</b>19 백신 접종을 정기적으로 받도록 하는... 
70,"전남도, 영유아 대상 &apos;<b>코로나</b>19 예방접종&apos; 시작",<b>코로나</b>19 접종 [사진=전남도청] 접종 대상은 생후 6개월부터 4세(2018년생 중 생일이 지나지 않은 유아) 이하까지다. 8주(56일) 간격으로 3회에 걸쳐 접종한다. 4세 이하 영유아는 <b>코로나</b>19 확진 시 5~19세에 비해 사망률이... 
71,"옥천군, 영유아 <b>코로나</b> 예방접종 시작","▲ 영유아 <b>코로나</b> 예방접종 포스터. 충북 옥천군은 <b>코로나</b>19 감염의 겨울철 재유행의 지속, 신규 변이 출현 등에 따라 그간 접종기회가 없었던 영유아(만6개월~4세)를 대상으로 <b>코로나</b>19 예방접종을 시행한다. 영유아... "
72,"고령군, 영유아 (6개월~4세) <b>코로나</b>19 예방접종 13일부터 실시","한 <b>코로나</b>19 백신 기초접종(1·2·3접종)을 오는 13일부터 시행한다고 8일 밝혔다. 영유아는 이미 접종을... 참고로, 고령군은 60대이상 고령층, 감염취약시설 관계자, 12세 이상자 대상으로 <b>코로나</b> 19 동절기 추가... "
73,지영미 청장 “<b>코로나</b>19 감염병 등급 조정 논의 시작”,"미국 백악관이 오는 5월 <b>코로나</b>19에 대한 공중보건 비상사태를 종료하기로 한 것과 관련해, 우리 방역당국도 <b>코로나</b>19 감염병 등급 조정 등을 위한 전문가 논의를 시작했습니다. <b>코로나</b>19 백신에 대한 정기 접종 계획도... "
74,"질병청 “<b>코로나</b> 백신 정기접종, 일반인 年 1회 고위험군 2회 방향”","질병관리청이 향후 일상회복 과정에서 <b>코로나</b>19 백신을 정기접종하게 된다면 일반인은 연 1회, 고위험군은 2회 접종하는 방향으로 입장을 정했다고 밝혔다. 임숙영 질병청 중앙방역대책본부 상활총괄단장은 8일... "
75,&quot;이르면 5월쯤 <b>코로나</b> 등급 낮추고 격리의무 해제한다&quot;,이르면 5월쯤에는 <b>코로나</b>19의 법정 감염병 등급이 낮춰지고 어디서든 마스크를 벗을 수 있으며 확진자 7일 격리 의무도 해제될 수 있을 것으로 보인다. <b>코로나</b>19 유행 3년간 목표로 거론된 &apos;일상회복&apos;이 올해는 이뤄질 수... 
76,<b>코로나</b> 잠잠해지자 절도범 기승…40대 도둑 형제 검거,경찰 관계자는 “<b>코로나</b>가 잠잠해지고 외부활동이 늘어나면서 주거침입과 절도범죄가 기승을 부리고 있다”며 “치안 유지가 필요한 지역에서 선제적이고 적극적으로 대응할 것”이라고 말했다.
77,"당국 &quot;<b>코로나</b> 백신 정례 접종, 전문가와 긴밀히 협의 중&quot;",방역당국은 <b>코로나</b>19 백신의 정례 접종 방안에 대해 전문가들과 긴밀히 협의를 하고 있다고 밝혔다. 임숙영... 앞서 전날 지영미 질병관리청장도 기자간담회에서 <b>코로나</b>19 백신의 정례 접종 방안을 검토할 예정이라고 밝힌... 
